cardname,cardq,cardrarity,card_edition,cardset,cardcode,cardid,print_id,description,cardtype,type,monstertype,attribute,atk,def,level,pscales,lcount,larrows
Maiden of Blue Tears ,0,Common,Unlimited,Chaotic Showtime; Master Pack,,99176254,,"If your opponent Special Summons a monster(s) and you control a Link Monster (except during the Damage Step): Target 1 of them; destroy it, and if you do, inflict damage to your opponent equal to half its original ATK. If effect damage is inflicted while this card is in your GY (except during the Damage Step): You can banish this card, then target 1 Normal Spell in your GY or banishment; Set it, but it cannot be activated this turn. You can only use 1 ""Maiden of Blue Tears"" effect per turn, and only once that turn.",Trap,Normal,,,,,,,,
Maiden of Macabre ,0,Rare,Unlimited,Legacy Pack,,84055227,,If this card destroys an opponent's monster by battle: Place 1 Spell Counter on it. Gains 200 ATK for each Spell Counter on it.,Monster,Effect,Spellcaster,DARK,1700,0,4,,,
Maiden of the Aqua ,0,Common,Unlimited,Legacy Pack,,17214465,,"While there is no face-up Field Spell, the field is treated as ""Umi"".",Monster,Effect,Aqua,WATER,700,2000,4,,,
Maiden of the Millennium Moon ,0,Rare,Unlimited,Master Pack; The Forbidden Liberated,,37552929,,"If this card battles a monster, neither can be destroyed by that battle. You can only use each of the following effects of ""Maiden of the Millennium Moon"" once per turn. If this card is in your hand: You can place it in your Spell & Trap Zone as a face-up Continuous Spell. If your opponent activates a card or effect, while this card is a Continuous Spell (except during the Damage Step): You can Special Summon this card, and if you do, for the rest of this turn, your opponent cannot target Level 5 or higher Illusion or Spellcaster monsters you control with card effects.",Monster,Effect,Illusion,LIGHT,1500,1300,4,,,
Maiden of the Moonlight ,0,Common,Unlimited,,,79629370,,A sorcerer blessed by lunar light with powers far beyond mortal comprehension.,Monster,Normal,Spellcaster,LIGHT,1500,1300,4,,,
Maiden of White ,0,Ultra Rare,Semi-Limited,Master Pack; The Ultimate Sparkle,,17947697,,"You can send this card from your hand or field to the GY; place 1 ""True Light"" from your hand, Deck, or GY, face-up in your Spell & Trap Zone. If you Special Summon ""Blue-Eyes White Dragon"" while this card is in your GY (except during the Damage Step): You can Special Summon this card. When a card or effect is activated that targets this card on the field, or when this card is targeted for an attack (Quick Effect): You can Special Summon 1 ""Blue-Eyes White Dragon"" or 1 Level 1 LIGHT Tuner from your GY. You can only use each effect of ""Maiden of White"" once per turn.",Monster,Tuner;Effect,Spellcaster,LIGHT,0,0,1,,,
Maiden with Eyes of Blue ,0,Rare,Unlimited,Master Pack; Revival of Legends; The Azure in the Ivory,,88241506,,"When a card or effect is activated that targets this card (Quick Effect): You can Special Summon 1 ""Blue-Eyes White Dragon"" from your hand, Deck, or GY. When this card is targeted for an attack: You can negate the attack, and if you do, change the battle position of this card, then you can Special Summon 1 ""Blue-Eyes White Dragon"" from your hand, Deck, or GY. You can only use 1 ""Maiden with Eyes of Blue"" effect per turn, and only once that turn.",Monster,Tuner;Effect,Spellcaster,LIGHT,0,0,1,,,
Majespecter Cat - Nekomata ,0,Rare,Unlimited,Advanced Warriors; Agathokakologically Whispered Fates; Eternal Partners; Master Pack,,05506791,,"When this card is Normal or Special Summoned: You can add 1 ""Majespecter"" card from your Deck to your hand during the End Phase of this turn. You can only use this effect of ""Majespecter Cat - Nekomata"" once per turn. While this card is in your Monster Zone, your opponent cannot target it with card effects, also it cannot be destroyed by your opponent's card effects.",Monster,Pendulum;Effect,Spellcaster,WIND,100,1800,3,2,,
Majespecter Crow - Yata ,0,Common,Unlimited,Advanced Warriors; Agathokakologically Whispered Fates; Eternal Partners; Master Pack; Rage of Chaos,,68395509,,"When this card is Normal or Special Summoned: You can add 1 ""Majespecter"" Spell from your Deck to your hand. You can only use this effect of ""Majespecter Crow - Yata"" once per turn. While this card is in your Monster Zone, your opponent cannot target it with card effects, also it cannot be destroyed by your opponent's card effects.",Monster,Pendulum;Effect,Spellcaster,WIND,1000,1500,4,5,,
Majespecter Cyclone ,0,Rare,Unlimited,Advanced Warriors; Agathokakologically Whispered Fates; Eternal Partners; Master Pack,,49366157,,"Tribute 1 WIND Spellcaster monster, then target 1 monster your opponent controls; destroy it.",Spell,Quick-Play,,,,,,,,
Majespecter Draco - Ryu ,0,Ultra Rare,Unlimited,Agathokakologically Whispered Fates; Eternal Partners; Master Pack,,03594985,,"Pendulum Effect
If you have a ""Majespecter"" or ""Dracoslayer"" card in your other Pendulum Zone: You can add 1 ""Majespecter"" card from your Deck to your hand, then you can destroy 1 card in your Pendulum Zone. You can only use this effect of ""Majespecter Draco - Ryu"" once per turn.
Monster Effect
2 Level 4 monsters
If you can Pendulum Summon Level 4, you can Pendulum Summon this face-up card from your Extra Deck. If a monster(s) is Tributed while this card is on the field (except during the Damage Step): You can detach 1 material from this card; Special Summon 1 Level 6 or lower WIND Spellcaster monster from your Deck. You can only use this effect of ""Majespecter Draco - Ryu"" up to twice per turn. If this card in the Monster Zone is destroyed by battle or card effect, or Tributed: You can place this card in your Pendulum Zone.",Monster,Xyz;Pendulum;Effect,Spellcaster,WIND,2300,2000,4,5,,
Majespecter Fox - Kyubi ,0,Common,Unlimited,Legacy Pack,,94784213,,"When this card is Normal or Special Summoned: You can add 1 ""Majespecter"" Trap from your Deck to your hand. You can only use this effect of ""Majespecter Fox - Kyubi"" once per turn. While this card is in your Monster Zone, your opponent cannot target it with card effects, also it cannot be destroyed by your opponent's card effects.",Monster,Pendulum;Effect,Spellcaster,WIND,1500,1000,4,2,,
Majespecter Gust ,0,Common,Unlimited,Legacy Pack,,05153769,,"Target 1 ""Majespecter"" card in your Pendulum Zone; Special Summon it.",Trap,Normal,,,,,,,,
Majespecter Orthrus - Nue ,0,Super Rare,Unlimited,Agathokakologically Whispered Fates; Eternal Partners; Master Pack,,66384688,,"2 Pendulum Monsters, including a ""Majespecter"" monster
If this card is Link Summoned: You can add up to 2 face-up ""Majespecter"" Pendulum Monsters from your Extra Deck to your hand, then you can add up to 2 ""Majespecter"" Pendulum Monsters with different names from your Deck to your face-up Extra Deck, also you cannot Special Summon from the Extra Deck for the rest of this turn, except ""Majespecter"" or ""Dracoslayer"" monsters. You can only use this effect of ""Majespecter Orthrus - Nue"" once per turn.",Monster,Link;Effect,Spellcaster,WIND,1500,,,,2,Bottom-Left; Bottom-Right
Majespecter Porcupine - Yamarashi ,0,Rare,Unlimited,Agathokakologically Whispered Fates; Eternal Partners; Master Pack,,51073802,,"During the Main Phase, if you control a ""Majespecter"" monster (Quick Effect): You can Special Summon this card from your hand. If this card is Normal or Special Summoned: You can target 1 ""Majespecter"" Spell in your GY; Set it. You can only use each of the previous effects of ""Majespecter Porcupine - Yamarashi"" once per turn. While this card is in your Monster Zone, your opponent cannot target it with card effects, also it cannot be destroyed by your opponent's card effects.",Monster,Pendulum;Effect,Spellcaster,WIND,1500,1500,4,2,,
Majespecter Raccoon - Bunbuku ,0,Common,Unlimited,Advanced Warriors; Agathokakologically Whispered Fates; Eternal Partners; Master Pack; Rage of Chaos,,31991800,,"When this card is Normal or Special Summoned: You can add 1 ""Majespecter"" monster from your Deck to your hand. You can only use this effect of ""Majespecter Raccoon - Bunbuku"" once per turn. While this card is in your Monster Zone, your opponent cannot target it with card effects, also it cannot be destroyed by your opponent's card effects.",Monster,Pendulum;Effect,Spellcaster,WIND,1200,900,3,5,,
Majespecter Sonics ,0,Common,Unlimited,Legacy Pack,,13611090,,"Target 1 ""Majespecter"" monster you control; until the end of this turn, its ATK/DEF become double its current ATK/DEF, also any battle damage it inflicts to your opponent is halved.",Spell,Quick-Play,,,,,,,,
Majespecter Storm ,0,Rare,Unlimited,Advanced Warriors; Agathokakologically Whispered Fates; Eternal Partners; Master Pack,,13972452,,"Tribute 1 WIND Spellcaster monster, then target 1 monster your opponent controls; shuffle it into the Deck.",Spell,Normal,,,,,,,,
Majespecter Supercell ,0,Common,Unlimited,Legacy Pack,,78949372,,"While you have a ""Majespecter"" card in your Pendulum Zone, the activation and effects of other ""Majespecter"" cards on your field cannot be negated. Once per turn: You can target 5 ""Majespecter"" cards in your GY; shuffle all 5 into the Deck, then draw 1 card.",Trap,Continuous,,,,,,,,
Majespecter Tempest ,0,Common,Unlimited,Advanced Warriors; Agathokakologically Whispered Fates; Eternal Partners; Master Pack; Rage of Chaos,,02572890,,"When a monster(s) would be Special Summoned, or a monster effect is activated: Tribute 1 WIND Spellcaster monster; negate the Summon or activation, and if you do, destroy that card.",Trap,Counter,,,,,,,,
Majespecter Toad - Ogama ,0,Rare,Unlimited,Legacy Pack,,00645794,,"When this card is Normal or Special Summoned: You can Set 1 ""Majespecter"" Spell/Trap directly from your Deck, but it cannot be activated this turn. You can only use this effect of ""Majespecter Toad - Ogama"" once per turn. While this card is in your Monster Zone, your opponent cannot target it with card effects, also it cannot be destroyed by your opponent's card effects.",Monster,Pendulum;Effect,Spellcaster,WIND,1300,500,4,5,,
Majespecter Tornado ,0,Common,Unlimited,Advanced Warriors; Agathokakologically Whispered Fates; Eternal Partners; Master Pack; Rage of Chaos,,36183881,,"Tribute 1 WIND Spellcaster monster, then target 1 monster your opponent controls; banish it.",Trap,Normal,,,,,,,,
Majespecter Unicorn - Kirin ,0,Super Rare,Unlimited,Agathokakologically Whispered Fates; Eternal Partners; Master Pack,,31178212,,"(Quick Effect): You can target 1 Pendulum Monster in your Monster Zone and 1 monster your opponent controls; return them to the hand(s). You can only use this effect of ""Majespecter Unicorn - Kirin"" once per turn. While this card is in your Monster Zone, your opponent cannot target it with card effects, also it cannot be destroyed by your opponent's card effects.",Monster,Pendulum;Effect,Spellcaster,WIND,2000,2000,6,2,,
Majespecter Wind ,0,Super Rare,Unlimited,Agathokakologically Whispered Fates; Eternal Partners; Master Pack,,51250293,,"When you activate this card, you can also Tribute 1 WIND Spellcaster monster; Special Summon 1 ""Majespecter"" monster from your hand or GY, or if you Tributed a monster at activation, you can Special Summon 1 ""Majespecter"" monster from your Deck instead. You can only activate 1 ""Majespecter Wind"" per turn.",Spell,Quick-Play,,,,,,,,
"Majester Paladin, the Ascending Dracoslayer ",0,Ultra Rare,Unlimited,Advanced Warriors; Master Pack,,88722973,,"2 Level 4 Pendulum Monsters
When this card is Xyz Summoned: You can add 1 Pendulum Monster from your Deck to your hand during the End Phase of this turn. Once per turn: You can detach 1 material from this card; Special Summon 1 face-up ""Dracoslayer"" Pendulum Monster from your Extra Deck, but it cannot be used as material for an Xyz Summon.",Monster,Xyz;Effect,Dragon,WIND,1850,2000,4,,,
Majestic Absorption ,0,Common,Unlimited,Beyond Speed; Evoked Dragon of Miracles; Master Pack,,63144961,,"Target 1 ""Stardust Dragon"", or 1 Synchro Monster that mentions it, that you control, then activate 1 of these effects;
●Equip 1 face-up monster your opponent controls to that target.
●It can attack directly this turn.
●This turn, each time it destroys an opponent's monster by battle, inflict damage to your opponent equal to the destroyed monster's original ATK.
You can only activate 1 ""Majestic Absorption"" per turn.",Spell,Normal,,,,,,,,
Majestic Dragon ,0,Common,Unlimited,Beyond Speed; Evoked Dragon of Miracles; Master Pack,,21159309,,"Cannot be used as Synchro Material, except for the Synchro Summon of a ""Majestic"" monster.",Monster,Tuner;Effect,Dragon,LIGHT,0,0,1,,,
Majestic Mech - Goryu ,0,Rare,Unlimited,Legacy Pack,,95701283,,"You can Tribute Summon (but not Set) this card with 1 Tribute. If Summoned this way, during the End Phase: Send it to the Graveyard. If this card attacks a Defense Position monster, inflict piercing battle damage to your opponent.",Monster,Effect,Fairy,LIGHT,2900,1800,8,,,
Majestic Mech - Ohka ,0,Rare,Unlimited,Legacy Pack,,69303178,,"You can Normal Summon this card without Tributing. If you do, during the End Phase: Send it to the Graveyard.",Monster,Effect,Fairy,LIGHT,2400,1400,6,,,
Majestic Mech - Senku ,0,Common,Unlimited,Legacy Pack,,32918479,,When this card inflicts Battle Damage to your opponent by a direct attack: Draw 1 card. During the End Phase of the turn this card was Summoned: Send it to the Graveyard.,Monster,Effect,Fairy,LIGHT,1000,500,4,,,
Majestic Mirage ,0,Common,Unlimited,Beyond Speed; Evoked Dragon of Miracles; Master Pack,,98020526,,"If a face-up card you control leaves the field by your card effect, or to activate the effect of your card, and the card that left the field was ""Stardust Dragon"" or a Synchro Monster that mentioned it: You can apply 1 of the following effects, but you cannot apply that same effect of ""Majestic Mirage"" again this turn.
●Special Summon 1 of those monsters.
●Banish 1 monster from your opponent's field or GY.
●Any damage you take this turn is halved.",Trap,Continuous,,,,,,,,
